,state,lga_name,locality_name,lc1_1,rm2b,inf1a_1,inf1a_2,inf1a_3,inf1a_4,inf1a_5
21261,OGUN,ODOGBOLU,IMOSAN,yes,,no,no,no,no,no
21262,OGUN,EGBADO NORTH,AYETORO,yes,no,no,yes,no,no,yes
21263,OGUN,OGUN WATERSIDE,ODE OMI,yes,,no,no,no,yes,no
21264,OGUN,EGBADO NORTH,AYETORO,no,,no,no,no,no,no
21265,OGUN,OGUN WATERSIDE,ODE OMI,yes,,no,no,no,yes,no
21266,OGUN,EGBADO SOUTH,OWODE YEWA,no,,no,no,no,yes,no
21267,OGUN,EGBADO SOUTH,OWODE YEWA,no,,no,no,no,yes,no
21268,OGUN,ABEOKUTA   SOUTH,IFESOWAPO,no,,no,no,no,yes,no
21269,OGUN,SAGAMU,OGIJO,yes,,no,no,no,yes,no
21270,OGUN,SAGAMU,OGIJO,yes,,no,no,no,yes,no
21271,OGUN,IJEBU NORTH,LEWULOGUN,no,,no,yes,no,no,no
21272,OGUN,SAGAMU,ILU OLOYE,no,,no,no,no,no,no
21273,OGUN,ABEOKUTA  NORTH,ILUPEJU OKE ODO,no,,no,no,yes,no,yes
21274,OGUN,REMO NORTH,ODE REMO,no,,no,no,no,no,no
21275,OGUN,OGUN WATERSIDE,ODE OMI,yes,,no,no,no,yes,no
21276,OGUN,OGUN WATERSIDE,ODE OMI,no,,no,no,no,no,no
21277,OGUN,ABEOKUTA   SOUTH,OKE LANTORO,no,,no,no,no,no,no
21278,OGUN,IPOKIA,TUBE,no,,no,no,no,no,no
21279,OGUN,IMEKO_AFON,ILARA,yes,,no,yes,no,yes,no
21280,OGUN,ODOGBOLU,IKANGBA,no,,no,no,no,yes,no
21281,OGUN,ODOGBOLU,IKANGBA,no,,no,no,no,no,no
21282,OGUN,SAGAMU,OGIJO,yes,no,yes,no,no,yes,yes
21283,OGUN,ODEDA,OBANTOKO,yes,,yes,no,no,no,no
21284,OGUN,ODEDA,BODE OLUDE,no,,no,no,no,no,no
21285,OGUN,ODEDA,BODE OLUDE,no,no,no,yes,no,no,no
21286,OGUN,ODEDA,BODE OLUDE,no,,no,no,no,no,no
21287,OGUN,OGUN WATERSIDE,ONIKITINBI,yes,,no,no,no,no,no
21288,OGUN,OBAFEMI OWODE,AREPO,no,,no,no,no,no,no
21289,OGUN,OBAFEMI OWODE,AREPO,yes,,no,yes,yes,no,no
21290,OGUN,ABEOKUTA   SOUTH,OKE LANTORO,yes,,no,no,no,no,no
21291,OGUN,IKENNE,IPERU,no,,no,no,no,no,no
21292,OGUN,IKENNE,ILISAN,no,,no,no,no,yes,no
21293,OGUN,IKENNE,ILISAN,no,,yes,no,no,no,no
21294,OGUN,IKENNE,IKENNE,no,,yes,no,no,yes,no
21295,OGUN,IKENNE,IKENNE,no,,no,yes,no,no,no
21296,OGUN,ABEOKUTA  NORTH,OKE ATA,no,,no,no,no,no,yes
21297,OGUN,IJEBU ODE,IJEBU ODE,yes,,no,no,no,yes,no
21298,OGUN,EWEKORO,OBADA-OKO,no,no,no,no,no,yes,no
21299,OGUN,IJEBU ODE,IJEBU ODE,yes,,no,no,no,no,no
21300,OGUN,IJEBU ODE,IJEBU ODE,no,,no,no,no,no,no
21301,OGUN,IJEBU ODE,IJEBU ODE,no,,no,no,no,no,no
21302,OGUN,IPOKIA,TUBE,no,,no,yes,no,no,no
21303,OGUN,OGUN WATERSIDE,ODE OMI,yes,,no,no,no,yes,no
21304,OGUN,IPOKIA,ASEKO-IBATEFIN,no,,no,no,no,yes,no
21305,OGUN,IJEBU NORTH EAST,ILESE,yes,,no,no,no,no,no
21306,OGUN,IJEBU NORTH EAST,ILESE,yes,,yes,no,no,yes,no
21307,OGUN,IKENNE,ILISAN,no,,yes,no,no,no,no
21308,OGUN,IJEBU EAST,IJEBU IFE,no,,no,no,no,no,no
21309,OGUN,IJEBU EAST,IJEBU IFE,no,,no,no,no,no,no
21310,OGUN,ABEOKUTA   SOUTH,OLUWO,yes,no,no,no,no,yes,no
21311,OGUN,IJEBU EAST,IGAN NLA,no,,no,no,no,no,no
21312,OGUN,IJEBU EAST,IGAN NLA,yes,,no,yes,no,no,no
21313,OGUN,OGUN WATERSIDE,ONIKITINBI,no,,no,no,no,yes,no
21314,OGUN,IFO,PAKOTO,no,,no,no,no,no,no
21315,OGUN,IFO,PAKOTO,no,,no,no,no,no,no
21316,OGUN,ABEOKUTA  NORTH,ILUPEJU OKE ODO,no,,no,no,no,no,no
21317,OGUN,EWEKORO,OBADA-OKO,no,no,no,no,no,yes,no
21318,OGUN,EWEKORO,EJIO,yes,,no,no,no,no,no
21319,OGUN,EWEKORO,EJIO,no,,yes,no,no,no,no
21320,OGUN,IJEBU ODE,IJEBU ODE,yes,,no,yes,no,no,no
21321,OGUN,EWEKORO,SOJUOLU,no,,no,no,no,yes,no
21322,OGUN,EGBADO SOUTH,ILARO,yes,,no,yes,yes,no,yes
21323,OGUN,EGBADO SOUTH,ILARO,no,,yes,yes,no,no,no
21324,OGUN,EGBADO SOUTH,ILARO,no,,no,yes,no,yes,no
21325,OGUN,EGBADO SOUTH,ILARO,no,,no,no,yes,no,yes
21326,OGUN,EGBADO SOUTH,ILARO,no,,no,no,no,no,no
21327,OGUN,ABEOKUTA  NORTH,ILUPEJU OKE ODO,yes,,no,no,yes,yes,yes
21328,OGUN,EGBADO NORTH,AYETORO,no,,no,no,no,yes,no
21329,OGUN,OGUN WATERSIDE,AGO KETA,yes,,yes,no,no,yes,no
21330,OGUN,ODEDA,BODE OLUDE,no,,yes,yes,no,no,no
21331,OGUN,ADO-ODO_OTA,IGBEREN IGBOJOI,no,,no,no,no,yes,no
21332,OGUN,ADO-ODO_OTA,IGBEREN IGBOJOI,no,,no,no,no,no,no
21333,OGUN,IJEBU EAST,IGAN NLA,no,,no,no,no,no,no
21334,OGUN,ABEOKUTA  NORTH,ILUPEJU OKE ODO,yes,no,yes,no,no,yes,yes
21335,OGUN,ABEOKUTA  NORTH,OKE ATA,no,,no,no,no,yes,yes
21336,OGUN,ABEOKUTA  NORTH,ILUPEJU OKE ODO,no,,no,yes,no,no,no
21337,OGUN,ODOGBOLU,IMOSAN,yes,,no,no,no,yes,no
21338,OGUN,ABEOKUTA  NORTH,ILUPEJU OKE ODO,yes,no,no,no,yes,no,yes
21339,OGUN,ABEOKUTA   SOUTH,IJEMO,no,,no,no,no,no,no
21340,OGUN,IFO,OLAMBE,no,,no,no,no,no,no
21341,OGUN,ABEOKUTA   SOUTH,IJEMO,no,no,no,no,no,no,no
21342,OGUN,ABEOKUTA   SOUTH,IJEMO,yes,,yes,no,no,no,no
21343,OGUN,ABEOKUTA   SOUTH,IJEUN TITUN,yes,no,yes,no,yes,yes,yes
21344,OGUN,ABEOKUTA   SOUTH,IJEUN TITUN,yes,,no,no,no,no,no
21345,OGUN,ABEOKUTA   SOUTH,IJEUN TITUN,yes,,yes,no,no,no,no
21346,OGUN,ABEOKUTA   SOUTH,IJEUN TITUN,no,,no,no,no,no,no
21347,OGUN,EGBADO SOUTH,OWODE YEWA,no,,no,no,no,yes,no
21348,OGUN,ODEDA,BODE OLUDE,no,,no,no,no,no,no
21349,OGUN,IJEBU ODE,IJEBU ODE,yes,,yes,no,no,no,no
21350,OGUN,SAGAMU,ILU OLOYE,no,,no,no,no,yes,no
21351,OGUN,OBAFEMI OWODE,AREPO,no,,no,no,no,no,no
21352,OGUN,ODEDA,OBANTOKO,no,no,yes,no,no,yes,no
21353,OGUN,IPOKIA,TUBE,no,,no,no,no,no,no
21354,OGUN,ABEOKUTA  NORTH,OKE ATA,no,,no,no,no,no,no
21355,OGUN,ABEOKUTA  NORTH,OKE ATA,no,,no,no,no,yes,no
21356,OGUN,EWEKORO,EJIO,no,,no,no,no,no,no
21357,OGUN,ODEDA,BODE OLUDE,no,,no,no,no,no,no
21358,OGUN,EGBADO SOUTH,OWODE YEWA,no,,no,no,no,no,no
21359,OGUN,ODOGBOLU,IKANGBA,no,,yes,no,no,yes,no
21360,OGUN,ABEOKUTA   SOUTH,IFESOWAPO,no,,no,no,no,no,no
21361,OGUN,ODOGBOLU,IKANGBA,no,,no,no,no,yes,no
